anio_hecho;mes_hecho;dia_hecho;hora_hecho;minuto_hecho;fecha_hecho;edad;feminicidio;grupo_feminicidio;modalidad;estado_civil;grupo_armado;grupo_caracterizacion;medio_transporte;nivel_academico;ocupacion;sexo;comuna_hecho;codigo_barrio_hecho;codigo_comuna_hecho;barrio_hecho
2016;1;2;2;0;2/1/2016;33;No aplica;No aplica;Cortopunzante;NA;NA;Convivencia;Caminata;NA;Habitante de la calle;Masculino;Guayabal;1510;15;Guayabal
2016;1;4;17;35;4/1/2016;32;No aplica;No aplica;Arma de fuego;Unión marital de hecho;NA;Grupos Delincuenciales Organizados;Caminata;Primaria;Comerciante;Masculino;La Candelaria;1006;10;San Benito
2016;1;5;19;39;5/1/2016;25;No aplica;No aplica;Arma de fuego;Soltero;NA;Grupos Delincuenciales Organizados;Caminata;Primaria;Desempleado;Masculino;Castilla;0514;05;Alfonso López
2016;1;8;10;15;8/1/2016;25;No aplica;No aplica;Arma de fuego;Soltero;NA;Grupos Delincuenciales Organizados;Caminata;Primaria;Desempleado;Masculino;Robledo;0718;07;Cucaracho
2016;1;9;0;54;9/1/2016;66;No aplica;No aplica;Cortopunzante;Divorciado;NA;Homicidios asociados a hurtos;Caminata;Universitario;Abogado;Masculino;Villa Hermosa;0803;08;San Miguel
2016;1;9;8;20;9/1/2016;25;No aplica;No aplica;Arma de fuego;Casado;NA;Grupos Delincuenciales Organizados;Caminata;Bachillerato;Oficial inpec;Masculino;San Cristóbal;6013;60;Pedregal Alto
2016;1;9;23;10;9/1/2016;37;No aplica;No aplica;Cortopunzante;Unión marital de hecho;NA;Convivencia;Caminata;NA;NA;Masculino;San Cristóbal;6013;60;Pedregal Alto
2016;1;10;2;10;10/1/2016;54;No aplica;No aplica;Cortopunzante;Casado;NA;Convivencia;Caminata;Alfabeta;Obrero;Masculino;Villa Hermosa;0815;08;Las Estancias
2016;1;12;11;0;12/1/2016;25;No aplica;No aplica;Arma de fuego;NA;NA;Grupos Delincuenciales Organizados;Caminata;NA;NA;Masculino;La Candelaria;1017;10;Los Ángeles
2016;1;12;20;12;12/1/2016;41;No aplica;No aplica;Arma de fuego;NA;NA;Convivencia;Caminata;NA;NA;Masculino;Villa Hermosa;0809;08;Sucre
2016;1;12;21;45;12/1/2016;37;No aplica;No aplica;Arma de fuego;Unión marital de hecho;NA;Grupos Delincuenciales Organizados;Caminata;Bachillerato;Oficios varios;Masculino;La Candelaria;1001;10;Prado
